"name","parent","size"
"2.NA.NA.NA.NA.NA.NA.1","",
"2.1.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.1.1.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.1.1.NA.NA.NA.4","2.1.1.NA.NA.NA.NA.3",
"2.1.1.1.1.NA.NA.5","2.1.1.1.NA.NA.NA.4",
"2.1.1.1.1.NA.NA.sub.5.1","2.1.1.1.1.NA.NA.5",
"2.1.1.1.1.NA.NA.sub.5.2","2.1.1.1.1.NA.NA.5",
"2.1.1.1.2.NA.NA.5","2.1.1.1.NA.NA.NA.4",
"2.1.1.1.2.NA.NA.sub.5.1","2.1.1.1.2.NA.NA.5",
"2.1.1.1.NA.NA.NA.sub.4.1","2.1.1.1.NA.NA.NA.4",
"2.1.1.1.NA.NA.NA.sub.4.2","2.1.1.1.NA.NA.NA.4",
"2.1.1.2.NA.NA.NA.4","2.1.1.NA.NA.NA.NA.3",
"2.1.1.2.NA.NA.NA.sub.4.1","2.1.1.2.NA.NA.NA.4",
"2.1.1.2.NA.NA.NA.sub.4.2","2.1.1.2.NA.NA.NA.4",
"2.1.1.NA.NA.NA.NA.sub.3.1","2.1.1.NA.NA.NA.NA.3",
"2.1.10.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.10.1.NA.NA.NA.4","2.1.10.NA.NA.NA.NA.3",
"2.1.10.1.1.NA.NA.5","2.1.10.1.NA.NA.NA.4",
"2.1.10.1.1.NA.NA.sub.5.1","2.1.10.1.1.NA.NA.5",
"2.1.10.1.1.NA.NA.sub.5.2","2.1.10.1.1.NA.NA.5",
"2.1.10.1.NA.NA.NA.sub.4.1","2.1.10.1.NA.NA.NA.4",
"2.1.10.2.NA.NA.NA.4","2.1.10.NA.NA.NA.NA.3",
"2.1.10.2.1.NA.NA.5","2.1.10.2.NA.NA.NA.4",
"2.1.10.2.1.NA.NA.sub.5.1","2.1.10.2.1.NA.NA.5",
"2.1.10.2.2.NA.NA.5","2.1.10.2.NA.NA.NA.4",
"2.1.10.2.2.1.NA.6","2.1.10.2.2.NA.NA.5",
"2.1.10.2.2.1.NA.sub.6.1","2.1.10.2.2.1.NA.6",
"2.1.10.2.2.1.NA.sub.6.2","2.1.10.2.2.1.NA.6",
