"name","parent"
"3.1.1.1.NA.NA.NA.4","3.1.1.NA.NA.NA.NA.3"
"3.1.1.NA.NA.NA.NA.3","3.1.NA.NA.NA.NA.NA.2"
"3.1.NA.NA.NA.NA.NA.2","3.NA.NA.NA.NA.NA.NA.1"
"3.NA.NA.NA.NA.NA.NA.1",""
"3.1.1.1.NA.NA.NA.sub.4.1","3.1.1.1.NA.NA.NA.4"
"3.1.1.2.1.NA.NA.5","3.1.1.2.NA.NA.NA.4"
"3.1.1.2.NA.NA.NA.4","3.1.1.NA.NA.NA.NA.3"
"3.1.1.2.1.NA.NA.sub.5.1","3.1.1.2.1.NA.NA.5"
"3.1.1.2.1.NA.NA.sub.5.2","3.1.1.2.1.NA.NA.5"
"3.1.1.2.2.NA.NA.5","3.1.1.2.NA.NA.NA.4"
"3.1.1.2.2.NA.NA.sub.5.1","3.1.1.2.2.NA.NA.5"
"3.1.1.2.2.NA.NA.sub.5.2","3.1.1.2.2.NA.NA.5"
"3.1.1.2.3.NA.NA.5","3.1.1.2.NA.NA.NA.4"
"3.1.1.2.3.NA.NA.sub.5.1","3.1.1.2.3.NA.NA.5"
"3.1.1.2.3.NA.NA.sub.5.2","3.1.1.2.3.NA.NA.5"
"3.1.1.2.3.NA.NA.sub.5.3","3.1.1.2.3.NA.NA.5"
"3.1.1.2.4.NA.NA.5","3.1.1.2.NA.NA.NA.4"
"3.1.1.2.4.NA.NA.sub.5.1","3.1.1.2.4.NA.NA.5"
"3.1.1.2.4.NA.NA.sub.5.2","3.1.1.2.4.NA.NA.5"
"3.1.1.2.4.NA.NA.sub.5.3","3.1.1.2.4.NA.NA.5"
"3.1.1.2.NA.NA.NA.sub.4.1","3.1.1.2.NA.NA.NA.4"
"3.1.1.3.1.1.NA.6","3.1.1.3.1.NA.NA.5"
"3.1.1.3.1.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.NA.NA.NA.4","3.1.1.NA.NA.NA.NA.3"
"3.1.1.3.1.1.NA.sub.6.1","3.1.1.3.1.1.NA.6"
"3.1.1.3.1.1.NA.sub.6.2","3.1.1.3.1.1.NA.6"
"3.1.1.3.1.2.1.7","3.1.1.3.1.2.NA.6"
"3.1.1.3.1.2.NA.6","3.1.1.3.1.NA.NA.5"
"3.1.1.3.1.2.1.sub.7.1","3.1.1.3.1.2.1.7"
"3.1.1.3.1.2.1.sub.7.2","3.1.1.3.1.2.1.7"
"3.1.1.3.1.2.1.sub.7.3","3.1.1.3.1.2.1.7"
"3.1.1.3.1.2.NA.sub.6.1","3.1.1.3.1.2.NA.6"
"3.1.1.3.1.3.1.7","3.1.1.3.1.3.NA.6"
"3.1.1.3.1.3.NA.6","3.1.1.3.1.NA.NA.5"
"3.1.1.3.1.3.1.sub.7.1","3.1.1.3.1.3.1.7"
"3.1.1.3.1.3.NA.sub.6.1","3.1.1.3.1.3.NA.6"
"3.1.1.3.1.3.NA.sub.6.2","3.1.1.3.1.3.NA.6"
"3.1.1.3.1.NA.NA.sub.5.1","3.1.1.3.1.NA.NA.5"
"3.1.1.3.1.NA.NA.sub.5.2","3.1.1.3.1.NA.NA.5"
"3.1.1.3.10.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.10.NA.NA.sub.5.1","3.1.1.3.10.NA.NA.5"
"3.1.1.3.10.NA.NA.sub.5.2","3.1.1.3.10.NA.NA.5"
"3.1.1.3.10.NA.NA.sub.5.3","3.1.1.3.10.NA.NA.5"
"3.1.1.3.11.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.11.NA.NA.sub.5.1","3.1.1.3.11.NA.NA.5"
"3.1.1.3.11.NA.NA.sub.5.2","3.1.1.3.11.NA.NA.5"
"3.1.1.3.2.1.NA.6","3.1.1.3.2.NA.NA.5"
"3.1.1.3.2.NA.NA.5","3.1.1.3.NA.NA.NA.4"
"3.1.1.3.2.1.NA.sub.6.1","3.1.1.3.2.1.NA.6"
"3.1.1.3.2.1.NA.sub.6.2","3.1.1.3.2.1.NA.6"
"3.1.1.3.2.1.NA.sub.6.3","3.1.1.3.2.1.NA.6"
"3.1.1.3.2.2.NA.6","3.1.1.3.2.NA.NA.5"
