"name","parent","size"
"2.NA.NA.NA.NA.NA.NA.1","",
"2.1.NA.NA.NA.NA.NA.2","2.NA.NA.NA.NA.NA.NA.1",
"2.1.10.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.10.2.NA.NA.NA.4","2.1.10.NA.NA.NA.NA.3",
"2.1.10.2.2.NA.NA.5","2.1.10.2.NA.NA.NA.4",
"2.1.10.2.2.3.NA.6","2.1.10.2.2.NA.NA.5",
"2.1.10.2.3.NA.NA.5","2.1.10.2.NA.NA.NA.4",
"2.1.10.2.3.4.NA.6","2.1.10.2.3.NA.NA.5",
"2.1.10.2.3.4.NA.sub.6.1","2.1.10.2.3.4.NA.6",
"2.1.11.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.11.1.NA.NA.NA.4","2.1.11.NA.NA.NA.NA.3",
"2.1.11.1.2.NA.NA.5","2.1.11.1.NA.NA.NA.4",
"2.1.11.1.2.NA.NA.sub.5.1","2.1.11.1.2.NA.NA.5",
"2.1.12.NA.NA.NA.NA.3","2.1.NA.NA.NA.NA.NA.2",
"2.1.12.1.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.1.1.NA.NA.5","2.1.12.1.NA.NA.NA.4",
"2.1.12.1.NA.NA.NA.sub.4.2","2.1.12.1.NA.NA.NA.4",
"2.1.12.10.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.10.1.NA.NA.5","2.1.12.10.NA.NA.NA.4",
"2.1.12.2.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.2.1.NA.NA.5","2.1.12.2.NA.NA.NA.4",
"2.1.12.2.1.NA.NA.sub.5.1","2.1.12.2.1.NA.NA.5",
"2.1.12.3.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.3.1.NA.NA.5","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.2.NA.NA.5","2.1.12.3.NA.NA.NA.4",
"2.1.12.3.2.NA.NA.sub.5.1","2.1.12.3.2.NA.NA.5",
"2.1.12.8.NA.NA.NA.4","2.1.12.NA.NA.NA.NA.3",
"2.1.12.8.6.NA.NA.5","2.1.12.8.NA.NA.NA.4",
"2.1.12.8.6.6.NA.6","2.1.12.8.6.NA.NA.5",
